web-scraper-order,web-scraper-start-url,product_link,product_link-href,image_1,image_1-href,image_2,image_2-href,image_3,image_3-href,prix,marque,taille,etat,couleur,emplacement,titre,description,categorie,nom
"1579832910-306","https://www.vinted.fr/femmes/vetements?page=32","","https://www.vinted.fr/femmes/jeans-troues/397610340-jean-zara","","https://images.vinted.net/thumbs/f800/069e4_Nv7Lau5pjMgzLUHj23iPCp91.jpeg?1579539512-6dd4030e18d299f932807768fb69c2dfe645ba7d","","https://images.vinted.net/thumbs/f800/058dc_r6iZzDBqEWAA2bsbUYfzAEQv.jpeg?1579539512-1bb224b5978ba72ff59a2b364c63e722477676bd","null","","18,00 €","Zara","S / 36 / 8","Neuf","bleu clair","Wattrelos, France","Jean Zara","jean Zara bleu clair destroy, jamais porté","Jeans","Jean Zara"
"1579832836-240","https://www.vinted.fr/femmes/vetements?page=40","","https://www.vinted.fr/femmes/autres-robes/392466401-robe-blanche-et-bleu-marine-ceinture-rouge-vernis","","https://images.vinted.net/thumbs/f800/05733_fSTqsnGPNyVV23vU4N23bmFu.jpeg?1579036731-e72807d354f47b93c86d2c9d145dc352c6678c3b","","https://images.vinted.net/thumbs/f800/0632a_6cZyR55fzpszqadDMHT4Xg5G.jpeg?1579036731-1982ffca6b4f5fa0a6c7ca840efc30fbc4296ed6","","https://images.vinted.net/thumbs/f800/05d46_o266RQJgAj5ey4U2oyFqLdUp.jpeg?1579036731-8aa412a1f2c761d79108838c280aa36ec8c6f493","6,00 €","Premium","S / 36 / 8","Très bon état","blanc, marine","Étampes, France","Robe blanche et bleu marine, ceinture rouge vernis","Acheté d'occasion, jamais porté","Robes","Robe blanche et bleu marine, ceinture rouge vernis"
"1579832804-211","https://www.vinted.fr/femmes/vetements?page=43","","https://www.vinted.fr/femmes/blouson-aviateur/397035698-superbe-blouson-noir-rinascimento-neuf","","https://images.vinted.net/thumbs/f800/05a50_RPGeTmvkgZLyiWBgafGTkB1F.jpeg?1579552392-24565d4d75a375e62115c651336120a2e9c09ae5","","https://images.vinted.net/thumbs/f800/05002_V1J8DRKbjskMLGcib8CEihc8.jpeg?1579552392-745836ff98a4cd3430d3fb6266682329fe3f25e5","","https://images.vinted.net/thumbs/f800/07323_ZNK4gqgHEdtp8NFxARWYhJff.jpeg?1579552392-918dfba481b95353f65be8ef0ce405c8b3fcac2a","60,00 €","Rinascimento","L / 40 / 12","Neuf","noir","Paris, France","Superbe blouson  noir Rinascimento neuf","Superbe blouson noir Rinascimento noir matelasse 
Bijouterie dorée 
Très classe et leger
Neuf jamais porté
Taille L/40/42
Hauteur 53cm
2 poches","Manteaux & vestes","Superbe blouson  noir Rinascimento neuf"
"1579833202-566","https://www.vinted.fr/femmes/vetements?page=1","","https://www.vinted.fr/femmes/manteaux-en-fausse-fourrure/382904660-manteau-apostrophe","","https://images.vinted.net/thumbs/f800/0504f_UfR7efsG27ak7WLMdoJQ69Tj.jpeg?1578070910-f9af2fba7d27ef8ddd74d3df1a2dabcf2911816b","","https://images.vinted.net/thumbs/f800/04e95_5BuciVWcf86DbL5SHF6dKTaa.jpeg?1578070910-13fb79a2aa1b2c3d60fcca69d430f9529df393f1","","https://images.vinted.net/thumbs/f800/064b5_92eCxit9M8DsfZiQX9w5ecqB.jpeg?1578070910-4e00ecd2f55543d942431929d8d944a679a71888","48,00 €","Apostrophe","L / 40 / 12","Neuf","rose","France","Manteau apostrophe","neuf taille 40/L 

#manteau #faussefourrure #faussefourrrure40","Manteaux & vestes","Manteau apostrophe"
"1579832809-217","https://www.vinted.fr/femmes/vetements?page=43","","https://www.vinted.fr/femmes/jeans-droits/361279783-pantalon-levis","","https://images.vinted.net/thumbs/f800/05670_KHuFWcGtqkSZGF9Edo4oUk1J.jpeg?1575065060-b3eca5e388c9bd96869ddaa05751acddd14cd02b","","https://images.vinted.net/thumbs/f800/0545f_7ZJfUPGPjEc78c8ocpY5f7J3.jpeg?1575065061-657bee955b4c34447c1ee74353473b736941acac","","https://images.vinted.net/thumbs/f800/06d1e_5bbCQxKMs1sKj3JTkMxhgSyV.jpeg?1575065061-4977514b1e3ea8a0fc936870e2d505773168f4ff","25,00 €","Levi's","Autre","Très bon état","bleu","Ronda, España","Pantalón levi’s","pantalones vaqueros levis, me costaron 110€ se han usado dos veces modelo 501 talla w32 L32","Jeans","Pantalón levi’s"
"1579832933-328","https://www.vinted.fr/femmes/vetements?page=29","","https://www.vinted.fr/femmes/fetes-and-cocktails/398632266-vestido-fiesta","","https://images.vinted.net/thumbs/f800/05731_Vcwcnent8KEpwVVCwjKit3JU.jpeg?1579644068-1ff9a905e420f9f52bf80c441b3833f0cbbbf6a2","","https://images.vinted.net/thumbs/f800/05adb_LTRPL1X8XEx7189MVXPdDu1o.jpeg?1579644068-4b0850a4e8e7f915fbe1d423f4a774a3d397db23","","https://images.vinted.net/thumbs/f800/0667d_3WKpqYcUYRHEWnAwSo1NxuTP.jpeg?1579644068-5f43259e8089e31ebbb81a47019324c60158ec6c","60,00 €","Easy Wear","L / 40 / 12","Très bon état","rouge","Basauri, España","Vestido fiesta","vestido para fiestas,bodas...con chal a juego.Tela tipo raso.","Robes","Vestido fiesta"
"1579832974-363","https://www.vinted.fr/femmes/vetements?page=25","","https://www.vinted.fr/femmes/manteaux-longs/367289802-manteau-jil-sander-angora-et-laine-vierge","","https://images.vinted.net/thumbs/f800/0562c_EBJLUp1mPbQ6dtYjLA19BoyM.jpeg?1575795788-67e7425cd528c32d7827fc58e69c3145306390cc","","https://images.vinted.net/thumbs/f800/05748_2SB3F1sZYx8F2ryHeNEFxf3Q.jpeg?1575795788-d4b531cb2e496ca4e4c3668ab515e787ec98844a","","https://images.vinted.net/thumbs/f800/06edf_p2efYFkkYpXpb5ux7nx4zUMN.jpeg?1575795788-d43e90e2cca42260f525fbc3d6759537b940de8e","250,00 €","JIL SANDER","L / 40 / 12","Très bon état","marron","France","Manteau Jil Sander angora et laine vierge","Magnifique manteau Jil Sander presque jamais porté, 60% laine vierge et 40% Angora, T40. 
prix neuf: 1450€ 


#jilsander #coat #brown #wool","Manteaux & vestes","Manteau Jil Sander angora et laine vierge"
"1579832986-373","https://www.vinted.fr/femmes/vetements?page=23","","https://www.vinted.fr/femmes/combi-shorts/103870489-combinaison-short","","https://images.vinted.net/thumbs/f800/05882_Sw8L3CNkNsvpcR8tjPcYCeP6.jpeg?1579512637-e8daefa9b6560f2785800d27edfa0135d07bb395","","https://images.vinted.net/thumbs/f800/06583_arTvBMrzEzpeGXAaXqfHkjKL.jpeg?1579512637-b130ab78dbea691f02ce3793340c293ce5d12c5e","","https://images.vinted.net/thumbs/f800/058fe_dLQdf3KVZtNKbHC36qJjz938.jpeg?1579512637-4ac561fa78d2bf42685d63f3fbee4288cdbf74da","25,00 €","Blooshop","Taille unique","Neuf, avec étiquette","noir, blanc","France","Combinaison short","Combinaison short rayé noir et blanc en coton effet lin","Combinaisons & combishorts","Combinaison short"
"1579832749-161","https://www.vinted.fr/femmes/vetements?page=49","","https://www.vinted.fr/femmes/jeans-skinny/357663393-jean-camaieu","","https://images.vinted.net/thumbs/f800/05dfd_r2asQ6BopP7RWb5X4MYt82Le.jpeg?1574621120-ea64d23edbc4474343bd20885ad0e4689853cb2a","","https://images.vinted.net/thumbs/f800/05631_YjwA8RT5EPPnfDrfGH8pAyi6.jpeg?1574621120-8f8c7273f0a0801520014aed9101171f7fec41c3","null","","4,00 €","Camaieu","XS / 34 / 6","Très bon état","bleu","France","Jean Camaïeu","jean taille basse
très bon état","Jeans","Jean Camaïeu"
"1579832778-189","https://www.vinted.fr/femmes/vetements?page=46","","https://www.vinted.fr/femmes/manteaux-en-fausse-fourrure/399207121-zara-abrigo-largo-de-zara","","https://images.vinted.net/thumbs/f800/06ee1_patTdB2r4f6L565uLhVNSgQ8.jpeg?1579712446-aa00d2fa94208449f8436faa2ea5aa87499de446","","https://images.vinted.net/thumbs/f800/07456_pJkA2q1aA39AVpaRtbKHxzXN.jpeg?1579712446-ffdaa53b1d0fe64c51ca26808a0cef4032c57ca8","","https://images.vinted.net/thumbs/f800/05d71_FuhWDEUSkLQi6quKfxQWKcxx.jpeg?1579712446-1cfd100ffcc5a7fd8a27363752f0f39b812dcab6","40,00 €","Zara","L / 40 / 12","Très bon état","multicolore","Encinillas, España","Zara Abrigo largo de Zara","precioso abrigo de pelo sintético largo y grueso de Zara 
animal print 
leopardo muy elegante 
perfecto estado 
talla L / 40
te invito a entrar en mi perfil tengo ropa de marca muy barata","Manteaux & vestes","Zara Abrigo largo de Zara"
"1579833029-413","https://www.vinted.fr/femmes/vetements?page=19","","https://www.vinted.fr/femmes/jeans-taille-haute/399478023-jean-levis-501-w28-l-30","","https://images.vinted.net/thumbs/f800/0507b_i1zAMD5y4KkfFE5i35BZXfNH.jpeg?1579735981-e9a96aa68205bffa1bcf8019fbaa58bcaf79edf4","","https://images.vinted.net/thumbs/f800/063f0_B9aGepjPWz1omLcCNj56uGWj.jpeg?1579735981-2703ac1b1d497468320a453e5081c7840b4db872","null","","30,00 €","Levi's","M / 38 / 10","Bon état","bleu clair, bleu","Paris, France","jean levis 501 w28 l 30","Jean levis vintage trop grand pour moi","Jeans","jean levis 501 w28 l 30"
